,y_11,y_12,y_13,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,ADM2_EN
611,Medium,High,High,High,High,Medium,High,No,1,Physical business,2,0,1,Kamukunji
615,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,0,Kamukunji
616,High,Medium,Medium,Medium,High,High,Medium,No,2,Online business,3,1,1,Kamukunji
618,High,Medium,High,High,High,High,High,No,0,Online business,0,0,1,Kamukunji
620,Low,Medium,Medium,Medium,Medium,Low,Medium,No,0,Online business,1,0,0,Kamukunji
622,High,High,Medium,High,Medium,High,Medium,No,0,Physical business,0,0,1,Kamukunji
629,High,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Online business,3,0,0,Kamukunji
631,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,0,0,1,Kamukunji
651,High,High,Medium,High,Medium,High,Medium,No,4,Online business,4,1,0,Kamukunji
655,Low,High,High,Medium,High,Medium,High,No,0,Physical business,0,0,1,Kamukunji
662,High,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Online business,13,1,0,Kamukunji
747,High,High,High,High,High,Medium,High,No,0,Online business,0,0,1,Kamukunji
891,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,0,Kasarani
892,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,3,0,0,Kasarani
898,High,High,High,High,High,High,High,No,12,Physical business,12,0,0,Kasarani
906,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,2,0,1,Kasarani
907,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,0,Kasarani
908,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Online business,3,0,1,Kasarani
909,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,0,Kasarani
910,High,High,High,High,High,High,High,No,6,Physical business,6,0,1,Kasarani
911,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
912,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,0,Kasarani
913,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Kasarani
914,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Kasarani
915,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,3,0,0,Kasarani
916,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
917,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Kasarani
918,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
919,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Kasarani
920,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,5,0,1,Kasarani
921,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,0,Kasarani
922,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
923,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
924,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
926,High,High,High,High,High,High,High,No,0,Physical business,4,0,1,Kasarani
927,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
928,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kasarani
929,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
930,High,Medium,Medium,Medium,Medium,Medium,Medium,No,15,Physical business,15,0,0,Kasarani
931,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kasarani
932,High,High,High,High,High,High,High,No,4,Physical business,4,0,0,Kasarani
935,Low,Low,Low,Low,Low,Low,Low,No,0,Physical business,0,0,1,Kasarani
939,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,4,0,1,Kasarani
940,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Kasarani
942,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,5,Physical business,5,0,1,Kasarani
943,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Kasarani
944,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
945,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Kasarani
947,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,1,Kasarani
950,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
951,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Kasarani
954,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,2,0,1,Kasarani
955,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
957,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
958,Medium,Medium,Medium,Medium,Medium,High,Medium,No,3,Online business,6,0,0,Kasarani
959,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Kasarani
960,Medium,Medium,Medium,Medium,High,Medium,Medium,No,5,Physical business,5,0,1,Kasarani
961,High,High,High,High,High,High,High,No,0,Physical business,3,0,1,Kasarani
962,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,5,0,0,Kasarani
963,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
964,High,High,High,High,High,High,High,No,4,Physical business,4,0,0,Kasarani
965,Medium,High,Medium,Medium,Medium,High,High,No,0,Physical business,2,0,1,Kasarani
966,Low,Low,Medium,Low,Medium,Medium,Medium,No,3,Physical business,4,0,0,Kasarani
967,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,4,0,0,Kasarani
968,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
969,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,0,Kasarani
971,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,8,Physical business,8,0,0,Kasarani
972,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
973,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,6,Physical business,10,0,0,Kasarani
974,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,2,0,1,Kasarani
975,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Kasarani
976,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
977,High,High,Medium,High,Medium,High,Medium,No,3,Physical business,5,0,0,Kasarani
978,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,5,0,1,Kasarani
981,High,High,High,High,High,High,High,No,16,Physical business,16,0,1,Kasarani
983,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,0,Kasarani
984,High,High,High,High,High,High,High,No,20,Physical business,20,0,0,Kasarani
985,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,3,Physical business,3,0,0,Kasarani
986,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,3,0,1,Kasarani
987,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,5,0,1,Kasarani
988,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Kasarani
989,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,0,Kasarani
990,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
991,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,4,0,1,Kasarani
992,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Online business,4,0,1,Kasarani
993,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Kasarani
994,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,4,0,1,Kasarani
995,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kasarani
998,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,6,0,0,Kasarani
1010,High,High,High,High,Medium,High,High,No,2,Physical business,2,0,1,Kasarani
1011,High,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,1,0,1,Kasarani
1015,Medium,Medium,Medium,Medium,Medium,High,Medium,No,2,Physical business,3,0,0,Kasarani
1016,High,High,Medium,High,Medium,Medium,High,No,1,Physical business,1,0,1,Kasarani
1017,Medium,Medium,Medium,Medium,Medium,High,High,No,3,Physical business,3,0,0,Kasarani
1018,High,Medium,Medium,Medium,Medium,High,Medium,No,3,Physical business,1,0,0,Kasarani
1020,Medium,Medium,High,Medium,High,Low,Medium,No,2,Online business,2,0,1,Kasarani
1021,High,High,Medium,High,Medium,High,High,No,0,Physical business,4,0,1,Kasarani
1022,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,0,Kasarani
1024,High,Medium,High,High,Very High,High,Medium,No,0,Physical business,2,0,1,Kasarani
1026,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Online business,8,0,0,Kasarani
1030,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Online business,8,0,0,Kasarani
1031,Medium,High,Medium,Medium,Medium,Medium,High,No,0,Physical business,1,0,1,Kasarani
1034,High,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,3,0,0,Kasarani
1036,High,Medium,Medium,Medium,Medium,Medium,Medium,No,13,Physical business,13,0,0,Kasarani
1037,High,Medium,Medium,Medium,Medium,High,Medium,No,2,Physical business,3,0,0,Kasarani
1038,Medium,High,Medium,Medium,Medium,Medium,Medium,No,1,Physical business,1,0,0,Kasarani
1039,Medium,High,High,High,High,High,High,No,0,Physical business,2,0,1,Kasarani
1040,High,High,High,High,High,High,Very High,Yes,0,Physical business,1,0,0,Kasarani
1042,Medium,Medium,High,Medium,Medium,Medium,High,No,0,Physical business,9,0,1,Kasarani
1043,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,1,1,1,Kasarani
1044,High,High,High,High,High,Medium,High,Yes,1,Physical business,3,0,0,Kasarani
1045,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Kasarani
1046,Medium,High,Medium,Medium,High,Medium,High,No,2,Physical business,2,0,1,Kasarani
1047,High,High,High,High,High,High,Medium,No,3,Online business,3,0,0,Kasarani
1048,High,High,High,High,High,Medium,High,No,2,Physical business,4,0,0,Kasarani
1049,Medium,Medium,High,Medium,High,High,High,No,0,Physical business,1,0,1,Kasarani
1050,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,0,Kasarani
1051,High,High,Medium,High,High,Medium,High,No,2,Physical business,2,0,0,Kasarani
1052,High,Medium,High,High,Medium,High,Medium,No,1,Physical business,2,0,0,Kasarani
1053,Medium,Medium,Medium,Medium,Medium,High,Medium,No,0,Physical business,3,0,1,Kasarani
1054,High,Medium,Medium,Medium,High,Medium,High,No,3,Online business,3,0,0,Kasarani
1055,Medium,High,Medium,Medium,High,High,Medium,No,3,Physical business,4,0,1,Kasarani
1056,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,1,0,1,Kasarani
1057,High,High,High,High,High,High,High,No,2,Physical business,2,0,1,Kasarani
1058,High,High,Medium,High,High,High,High,No,2,Physical business,2,0,1,Kasarani
1060,High,High,Medium,High,Medium,Medium,High,No,1,Physical business,1,0,0,Kasarani
1061,Medium,Medium,High,Medium,Medium,High,Medium,No,1,Physical business,10,0,0,Kasarani
1062,High,High,High,High,High,High,High,No,1,Physical business,4,0,0,Kasarani
1063,High,High,High,High,High,Medium,High,Yes,2,Physical business,2,0,1,Kasarani
1064,Medium,High,High,High,High,High,High,No,0,Physical business,6,0,0,Kasarani
1066,High,High,High,High,High,High,High,No,1,Physical business,1,0,0,Kasarani
1067,High,Medium,Medium,Medium,Medium,High,Medium,No,1,Physical business,3,0,0,Kasarani
1068,High,High,High,High,High,Medium,High,Yes,1,Physical business,3,0,0,Kasarani
1069,High,High,Medium,High,High,Medium,Medium,No,0,Physical business,13,0,0,Kasarani
1071,High,Medium,Medium,Medium,Medium,High,High,No,0,Physical business,3,0,0,Kasarani
1072,Medium,High,High,High,Medium,High,High,Yes,2,Physical business,3,0,0,Kasarani
1073,Medium,High,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,0,Kasarani
1074,Medium,High,Medium,Medium,Medium,Medium,High,Yes,0,Physical business,2,0,1,Kasarani
1075,Medium,Medium,High,Medium,High,Medium,High,No,10,Online business,11,0,1,Kasarani
1076,High,Medium,High,High,Medium,High,High,No,1,Physical business,1,0,0,Kasarani
1077,High,Medium,High,High,Medium,Medium,High,No,2,Physical business,2,0,0,Kasarani
1079,Medium,High,High,High,High,High,High,No,0,Online business,1,0,1,Kasarani
1080,Medium,Medium,Medium,Medium,High,Medium,High,No,1,Physical business,1,0,1,Kasarani
1081,Medium,Medium,Medium,Medium,Medium,Medium,High,No,2,Physical business,2,0,1,Kasarani
1082,High,High,Medium,High,Medium,High,High,No,2,Physical business,2,0,1,Kasarani
1083,Medium,High,Medium,Medium,High,High,High,No,0,Physical business,2,0,1,Kasarani
1085,Medium,Medium,Medium,Medium,Medium,Medium,High,No,6,Physical business,8,0,0,Kasarani
1086,High,High,High,High,High,High,High,No,0,Physical business,2,0,1,Kasarani
1087,Medium,Medium,Medium,Medium,Medium,High,Medium,No,2,Physical business,3,0,0,Kasarani
1088,High,High,Medium,High,High,High,High,No,1,Physical business,13,0,0,Kasarani
1089,High,High,Medium,High,High,High,High,No,0,Physical business,2,0,0,Kasarani
1090,High,High,Medium,High,High,High,Medium,No,0,Physical business,3,0,0,Kasarani
1091,High,High,High,High,Medium,High,High,No,0,Physical business,4,0,0,Kasarani
1093,Medium,High,Medium,Medium,High,High,High,No,2,Online business,2,0,1,Kasarani
1094,High,Medium,High,High,High,Medium,High,No,3,Physical business,4,0,0,Kasarani
1095,High,High,High,High,High,High,High,No,7,Physical business,7,0,1,Kasarani
1097,High,High,High,High,High,High,High,No,4,Physical business,4,0,1,Kasarani
1101,Medium,High,Medium,Medium,High,Medium,Medium,No,0,Physical business,1,0,1,Kasarani
1102,High,High,Medium,High,Medium,Medium,Medium,No,1,Physical business,1,1,1,Kasarani
1103,High,High,High,High,Medium,Medium,High,No,5,Physical business,5,0,0,Kasarani
1104,Medium,High,Medium,Medium,Medium,High,High,No,1,Physical business,1,0,0,Kasarani
1106,High,High,Medium,High,Medium,High,High,No,0,Online business,2,0,0,Kasarani
1107,High,High,High,High,High,High,High,No,7,Physical business,9,0,1,Kasarani
1109,High,Very High,Medium,High,Medium,High,Medium,No,0,Physical business,1,0,0,Kasarani
1110,High,High,High,High,Medium,High,High,No,2,Physical business,2,0,0,Kasarani
1111,Medium,High,High,High,High,High,High,No,0,Physical business,1,0,1,Kasarani
1114,High,Medium,High,High,High,High,High,No,8,Physical business,9,0,0,Kasarani
108,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Online business,1,0,0,Kibra
109,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,0,Kibra
113,High,High,Medium,High,Medium,High,Medium,Yes,3,Online business,3,0,1,Kibra
114,High,Medium,High,High,High,Medium,High,No,3,Online business,3,0,1,Kibra
115,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kibra
116,Medium,Low,Medium,Medium,Medium,Medium,Medium,No,6,Physical business,6,0,1,Kibra
119,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,1,Physical business,1,0,0,Kibra
121,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,1,Physical business,1,0,1,Kibra
122,High,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kibra
123,Low,Low,Medium,Low,Medium,Medium,Medium,No,0,Physical business,0,0,1,Kibra
124,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Physical business,3,0,0,Kibra
125,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kibra
126,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Kibra
127,High,High,Medium,High,Medium,Medium,Medium,Yes,3,Physical business,3,0,1,Kibra
128,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,0,0,1,Kibra
129,High,High,High,High,High,High,High,No,6,Physical business,7,0,0,Kibra
134,Low,Low,Medium,Low,Medium,Medium,Medium,No,2,Physical business,1,0,1,Kibra
136,Medium,Medium,Low,Medium,Low,Low,Low,No,0,Physical business,0,0,0,Kibra
137,Medium,Medium,High,Medium,Medium,High,High,No,5,Physical business,5,0,0,Kibra
139,Low,Low,Low,Low,Low,Low,Low,No,0,Physical business,0,0,1,Kibra
140,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Kibra
141,Low,Low,Low,Low,Low,Low,Low,No,3,Physical business,3,0,0,Kibra
142,Low,Low,Low,Low,Low,Low,Low,No,0,Online business,0,0,1,Kibra
143,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,3,Physical business,3,0,0,Kibra
144,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Kibra
145,Medium,Low,Medium,Medium,Medium,Low,Medium,No,6,Physical business,6,0,1,Kibra
152,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,2,Online business,2,0,0,Kibra
155,High,High,High,High,High,High,High,No,0,Physical business,1,0,0,Kibra
156,Medium,Medium,Medium,Medium,Medium,High,Medium,Yes,3,Online business,3,0,0,Kibra
163,High,High,Very High,High,High,High,High,No,6,Physical business,13,0,1,Kibra
164,Medium,Medium,Medium,Medium,Medium,Medium,High,No,0,Physical business,2,0,1,Kibra
165,High,High,High,High,High,High,High,No,0,Physical business,0,0,1,Kibra
166,Medium,Low,Medium,Medium,High,Medium,High,No,0,Physical business,1,0,1,Kibra
170,Very High,High,High,High,High,High,High,No,0,Online business,4,0,1,Kibra
171,Very High,High,High,High,High,High,High,No,3,Online business,3,0,1,Kibra
172,Very High,Very High,High,Very High,High,Very High,High,No,0,Physical business,0,0,1,Kibra
173,Medium,Low,High,Medium,Medium,Low,Medium,No,0,Online business,1,0,1,Kibra
180,Medium,High,High,High,Medium,Medium,High,No,2,Physical business,0,0,1,Kibra
181,High,High,High,High,High,High,High,Yes,0,Physical business,1,0,1,Kibra
233,Very High,High,Very High,Very High,Very High,High,Very High,Yes,4,Online business,4,0,0,Kibra
249,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Online business,2,0,1,Kibra
1,Medium,High,High,High,High,High,Medium,No,0,Online business,1,0,1,Langata
2,High,High,High,High,High,High,High,No,0,Physical business,11,0,1,Langata
3,High,High,Very High,High,High,High,High,No,4,Online business,5,0,0,Langata
4,Medium,High,High,High,High,High,Medium,Yes,0,Online business,1,0,1,Langata
5,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
6,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,3,Online business,3,0,0,Langata
7,High,High,Very High,High,High,High,High,No,0,Online business,13,0,1,Langata
8,High,High,Very High,High,High,High,Very High,Yes,0,Physical business,3,0,1,Langata
9,High,High,High,High,High,High,Medium,No,3,Physical business,3,0,1,Langata
10,Medium,High,High,High,High,High,Medium,No,0,Physical business,9,0,1,Langata
11,Medium,High,High,High,Medium,High,Medium,No,0,Physical business,1,0,1,Langata
12,Medium,High,High,High,High,High,Medium,No,1,Physical business,1,0,1,Langata
13,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,3,Physical business,13,0,1,Langata
14,High,High,High,High,High,High,High,No,0,Online business,2,1,1,Langata
15,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,14,Online business,24,0,0,Langata
16,Medium,Medium,High,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Langata
17,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
18,High,High,High,High,High,Very High,High,No,0,Physical business,1,0,0,Langata
19,Medium,Medium,High,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Langata
20,High,High,Very High,High,Very High,Very High,High,No,2,Physical business,13,0,1,Langata
21,Medium,Medium,High,Medium,Medium,High,Medium,No,1,Online business,1,0,0,Langata
22,Medium,High,High,High,High,High,High,Yes,6,Physical business,7,0,1,Langata
23,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,10,Physical business,10,0,1,Langata
24,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Online business,2,0,1,Langata
25,Medium,High,High,High,High,High,Medium,Yes,0,Physical business,2,0,1,Langata
26,Medium,Medium,High,Medium,High,Medium,Medium,No,0,Physical business,9,0,1,Langata
27,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Langata
28,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
29,Medium,High,High,High,Medium,High,High,Yes,0,Online business,10,1,1,Langata
30,Very High,Very High,Very High,Very High,Very High,High,Very High,Yes,7,Physical business,7,0,0,Langata
31,High,High,High,High,High,High,High,No,0,Online business,3,0,1,Langata
32,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,4,0,1,Langata
33,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,2,Online business,8,0,1,Langata
34,Medium,Medium,High,Medium,High,High,High,No,0,Online business,3,0,1,Langata
35,High,High,High,High,High,High,High,No,0,Physical business,3,0,1,Langata
36,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Langata
37,High,High,High,High,High,High,High,No,0,Online business,5,0,1,Langata
38,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,5,0,0,Langata
39,Low,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,1,0,1,Langata
40,Medium,High,Very High,High,High,High,High,No,0,Physical business,2,0,1,Langata
41,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,1,0,1,Langata
42,High,High,High,High,High,High,High,No,0,Online business,6,0,1,Langata
43,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
44,High,High,High,High,High,High,High,No,1,Physical business,3,0,1,Langata
45,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
46,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,20,Physical business,20,0,1,Langata
47,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,1,0,1,Langata
49,High,High,High,High,High,High,High,No,3,Physical business,4,0,1,Langata
50,Very High,Very High,Very High,Very High,Very High,Very High,High,No,0,Physical business,3,0,1,Langata
51,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
52,High,High,Very High,High,Very High,Very High,High,No,0,Physical business,8,0,1,Langata
53,High,High,High,High,High,High,High,No,0,Online business,1,0,1,Langata
54,Medium,High,High,High,Medium,High,Medium,No,0,Physical business,1,0,1,Langata
55,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
56,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,3,0,1,Langata
57,Medium,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
58,Medium,High,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,3,0,1,Langata
59,High,High,Very High,High,High,High,High,No,0,Physical business,1,0,1,Langata
60,Medium,High,High,High,High,High,High,No,0,Physical business,6,0,0,Langata
61,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Yes,0,Physical business,2,0,1,Langata
62,High,High,High,High,High,High,High,No,0,Online business,1,0,1,Langata
63,High,High,High,High,High,Very High,High,No,0,Physical business,1,0,1,Langata
64,High,Very High,Very High,Very High,Very High,Very High,Very High,No,0,Physical business,1,0,1,Langata
65,Medium,High,High,High,High,High,Medium,No,0,Physical business,1,0,1,Langata
66,Medium,Medium,High,Medium,High,Medium,Medium,No,0,Physical business,2,0,1,Langata
67,High,High,High,High,High,Very High,High,No,0,Physical business,2,0,1,Langata
68,High,High,High,High,High,High,High,No,5,Physical business,26,0,0,Langata
69,Very High,Very High,Very High,Very High,Very High,Very High,High,No,0,Physical business,1,0,1,Langata
70,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
71,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,16,Physical business,33,0,1,Langata
72,Very High,Very High,Very High,Very High,Very High,Very High,Very High,No,3,Physical business,3,0,0,Langata
73,Medium,High,High,High,High,High,Medium,No,0,Physical business,2,0,0,Langata
74,High,High,High,High,High,High,High,No,0,Physical business,1,0,1,Langata
75,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,2,0,1,Langata
76,Very High,Very High,Very High,Very High,Very High,Very High,High,No,0,Online business,1,0,1,Langata
81,Very High,High,High,High,Very High,Very High,Very High,No,7,Online business,7,0,0,Langata
82,Medium,Medium,Medium,Medium,Medium,High,Medium,Yes,6,Online business,9,0,1,Langata
88,High,Medium,High,High,Medium,Medium,Medium,No,1,Online business,1,0,1,Langata
93,High,High,High,High,High,High,High,No,1,Online business,1,0,0,Langata
97,High,High,High,High,High,High,High,Yes,0,Online business,1,0,0,Langata
101,Medium,Medium,High,Medium,Medium,Low,Medium,No,0,Physical business,1,0,1,Langata
102,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,0,Physical business,7,0,0,Langata
103,High,High,High,High,High,High,High,No,0,Online business,3,0,1,Langata
104,Very High,Very High,Very High,Very High,Very High,High,High,No,5,Online business,5,0,0,Langata
107,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,0,Physical business,1,0,0,Langata
110,Very High,Very High,Very High,Very High,Very High,Very High,Very High,Yes,4,Physical business,6,0,1,Langata
133,High,High,High,High,High,High,High,Yes,0,Online business,7,1,1,Langata
179,Medium,Medium,High,Medium,High,High,Medium,No,2,Online business,2,0,0,Langata
195,Medium,Medium,High,Medium,Medium,Medium,High,No,0,Physical business,1,0,0,Langata
736,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,2,Online business,2,0,0,Mathare
741,Low,Low,Medium,Low,High,High,Medium,No,0,Physical business,3,0,0,Mathare
744,High,High,High,High,High,High,High,Yes,3,Online business,4,0,0,Mathare
745,High,Medium,Medium,Medium,Medium,Medium,Medium,No,4,Physical business,12,0,1,Mathare
749,High,High,Medium,High,Medium,Medium,Medium,No,3,Physical business,4,0,1,Mathare
750,High,High,High,High,Medium,Medium,High,No,6,Physical business,6,0,0,Mathare
751,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,2,Physical business,2,0,1,Mathare
753,High,High,Medium,High,Medium,Medium,Medium,No,8,Physical business,8,0,1,Mathare
754,Medium,Medium,Medium,Medium,Medium,Medium,Medium,No,7,Physical business,7,0,0,Mathare
755,Medium,High,Medium,Medium,High,Medium,Medium,Yes,6,Physical business,6,0,1,Mathare
756,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,12,Physical business,12,0,1,Mathare
757,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Yes,9,Physical business,9,0,1,Mathare
